file	date	Label	ID_TUBE	Treatment	Landscape	Replicate	Size	Composition	indiv_per_frame	indiv_per_ul	bioarea_per_frame	bioarea_per_ul	major_mean	major_sd	minor_mean	minor_sd	gross_speed_mean	gross_speed_sd	net_speed_mean	net_speed_sd	sd_turning_mean	Rot	Spi	Ble	Pca	Col	Chi	Tet	Other
sample_00001	16-05-02	1	Lc	Isolated	Blue	A	NA	mixture	141.232	4.105581395	37210.59	1081.703198	39.52119823	52.72349162	20.85093687	13.81929949	204.9850979	106.1207329	120.795444	106.394756	0.674903475	0.199302326	0.126976744	0.11255814	0.041395349	0.034651163	2.120465116	1.408604651	0.061627907
sample_00002	16-05-02	2	Lc	Isolated	Blue	A	NA	mixture	91.24	2.652325581	24336.5796	707.4587093	36.49705427	40.25293743	21.08389876	10.51387071	212.8869437	115.6156288	123.9526506	117.9323271	0.652771084	0.074418605	0.094418605	0.029069767	0.015581395	0.143488372	1.34255814	0.936511628	0.01627907
sample_00003	16-05-02	3	Ld	Isolated	Blue	B	NA	mixture	96.808	2.814186047	26151.4656	760.2170233	42.56633996	42.70409564	23.20169293	12.71424685	206.530248	124.5059677	103.5649763	107.1536923	0.786398104	0.248372093	0.069534884	0.087906977	0.063953488	0.090232558	1.34372093	0.873953488	0.036511628
sample_00004	16-05-02	4	Ld	Isolated	Blue	B	NA	mixture	121.04	3.518604651	37770.1056	1097.968186	46.54370946	53.63489829	22.89927606	11.7692726	218.3749389	145.8582243	119.5603817	137.1432953	0.729961832	0.360930233	0.182790698	0.02627907	0.090697674	0.204651163	1.803255814	0.821162791	0.028837209
sample_00005	16-05-02	5	Le	Isolated	Blue	C	NA	mixture	76.312	2.218372093	19561.662	568.6529651	37.58666508	40.02811455	22.49378259	11.36911706	261.0881729	136.7292391	137.9165909	120.4796025	0.598787879	0.049534884	0.041860465	0.05372093	0.02255814	0.117209302	0.870465116	1.036511628	0.026511628
sample_00006	16-05-02	6	Le	Isolated	Blue	C	NA	mixture	131	3.808139535	27826.0272	808.8961395	35.17925209	32.52437415	20.76761672	10.38709846	237.4184745	139.0392179	129.4185887	119.7741459	0.634072581	0.286046512	0.105116279	0	0.028139535	0.127906977	1.58	1.665813953	0.015116279
sample_00007	16-05-02	7	Lf	Isolated	Blue	D	NA	mixture	83.568	2.429302326	24900.7932	723.8602674	44.25292232	58.36605354	21.43218261	11.35691292	225.2857436	140.6781464	127.4079651	145.49509	0.719186047	0.050930233	0.112093023	0.087209302	0.01255814	0.130232558	1.263488372	0.758837209	0.013953488
sample_00008	16-05-02	8	Lf	Isolated	Blue	D	NA	mixture	75.912	2.206744186	12012.2676	349.1938256	32.47196901	35.57173224	19.01090503	7.40934702	210.878778	112.4453339	90.84090909	101.8129113	0.722237762	0.040465116	0.038604651	0	0.004418605	0.056744186	1.206744186	0.859767442	0
sample_00217	5/9/2016	217	217bA	Isolated	Blue	A	7.5	mixture	90.144	2.620465116	43186.0896	1255.409581	54.72925423	48.02395669	27.49017763	12.73968686	199.1088339	143.2940657	113.2078218	145.479364	0.648514851	0.372790698	0.049767442	0.214418605	0.258604651	0.042093023	1.498372093	0.180930233	0.003488372
sample_00218	5/9/2016	218	218bA	Isolated	Blue	A	7.5	mixture	52.856	1.536511628	27002.484	784.9559302	51.40086024	46.26111911	25.94250433	14.13906675	182.044077	101.0543592	93.47823944	115.4642556	0.668661972	0.328372093	0.057209302	0.141860465	0.12744186	0.046511628	0.770697674	0.064418605	0
sample_00219	5/9/2016	219	219bA	Isolated	Blue	A	7.5	mixture	66.696	1.938837209	29533.3776	858.5284186	48.11742431	41.43865605	25.20273892	11.97788689	178.4184159	123.992529	91.1783237	131.7398109	0.756936416	0.406744186	0.131395349	0.081860465	0.108604651	0.105581395	1.036511628	0.051162791	0.016976744
sample_00220	5/9/2016	220	220bA	Isolated	Blue	A	7.5	mixture	85.8	2.494186047	34906.14	1014.713372	44.41378067	34.23980708	24.55173356	11.50602497	166.183157	91.7130332	71.4227897	103.0900658	0.681158798	0.574651163	0.079069767	0.115813953	0.130697674	0.026744186	1.362325581	0.161162791	0.04372093
